filename      MLEVar  Value
1_18239089 1.3790 0.0000 
1_18327257 1.3090 0.0000 
1_18514160 1.1630 0.0000 
1_18604267 1.3150 0.0000 
1_18846228 4.0260 0.0000 
1_19079260 2.9970 0.0000 
1_19305408 1.7160 0.0000 
1_19305409 1.6490 0.0000 
1_19343178 5.6510 0.0000 
1_19430479 1.9050 0.0000 
1_19430483 2.1980 0.0000 
1_19448622 1.2940 0.0000 
1_19448623 1.2600 0.0000 
1_19557161 2.5910 0.0000 
1_19587794 1.6450 0.0000 
1_19772629 1.4840 0.0000 
1_19802338 1.4760 0.0000 
1_19820697 1.6740 0.0000 
1_19853236 1.3550 0.0000 
1_19862010 1.5260 0.0000 
1_20010834 4.2450 0.0000 
1_20031538 2.3800 0.0000 
1_20045101 1.3770 0.0000 
1_20139977 1.8170 0.0000 
1_20172861 1.3410 0.0000 
1_20303062 1.2630 0.0000 
1_20548946 1.8760 0.0000 
1_20639394 1.6730 0.0000 
1_20887962 5.0030 0.0000 
1_20935629 2.1140 0.0000 
1_21060863 1.5200 0.0000 
1_21124946 2.4210 0.0000 
1_21196492 1.4430 0.0000 
1_21307088 1.2520 0.0000 
1_21572416 2.0910 0.0000 
1_21665993 1.4480 0.0000 
1_21706003 1.8040 0.0000 
1_21738478 2.7840 0.0000 
1_21750702 2.4860 0.0000 
1_21909108 1.5390 0.0000 
1_21909109 1.3530 0.0000 
1_21909110 2.8130 0.0000 
1_21931568 1.4530 0.0000 
1_21947420 5.3310 0.0000 
1_21977987 1.5520 0.0000 
1_21998595 3.4110 0.0000 
1_21998597 1.4480 0.0000 
1_22021425 6.0970 0.0000 
1_22267201 1.7610 0.0000 
1_22291609 1.3170 0.0000 
1_22341974 1.2830 0.0000 
1_22403646 1.3170 0.0000 
1_22492993 1.3050 0.0000 
1_22494929 1.4840 0.0000 
1_22504419 1.5200 0.0000 
1_22504420 3.7820 0.0000 
1_22570627 2.0310 0.0000 
1_22628180 2.1790 0.0000 
1_22726844 2.9710 0.0000 
1_22843503 2.2600 0.0000 
1_22911880 1.9450 0.0000 
1_23001564 1.3350 0.0000 
1_23028347 1.3490 0.0000 
1_23118974 4.7120 0.0000 
1_23202124 2.7410 0.0000 
1_23263486 28.2520 0.0000 
1_23371916 1.9350 0.0000 
1_23372041 1.9920 0.0000 
1_23437003 1.4600 0.0000 
1_23446634 1.3460 0.0000 
1_23449627 2.5900 0.0000 
1_23456168 2.3540 0.0000 
1_23474815 2.3600 0.0000 
1_23572186 1.3070 0.0000 
1_23599027 2.4590 0.0000 
1_23658558 2.6760 0.0000 
1_23669352 5.6970 0.0000 
1_23722424 1.6020 0.0000 
1_23776548 1.5750 0.0000 
1_23984888 1.8150 0.0000 
1_24047826 1.6340 0.0000 
1_24068962 2.8430 0.0000 
1_24144296 2.4170 0.0000 
1_24324648 1.9810 0.0000 
1_24430505 2.7120 0.0000 
1_24603532 1.3170 0.0000 
1_24604477 1.6360 0.0000 
1_24722205 2.0560 0.0000 
1_24929828 1.6440 0.0000 
1_24952745 1.9420 0.0000 
1_24963161 2.0380 0.0000 
1_25010111 1.2720 0.0000 
1_25027320 2.4910 0.0000 
1_25035420 3.8170 0.0000 
1_25224454 1.4500 0.0000 
1_25245031 1.3270 0.0000 
1_25249183 1.8090 0.0000 
1_25281659 1.5440 0.0000 
1_25282103 0.0000 0.0000 
1_25434496 2.0820 0.0000 
2_19430479 1.9020 0.0000 
2_19430483 2.1700 0.0000 
2_19772629 1.4510 0.0001 
2_19802338 1.5320 0.0000 
2_19820697 2.2130 0.0000 
2_19862010 1.5320 0.0000 
2_20045101 1.3370 0.0000 
2_20548946 1.8310 0.0000 
2_21572416 1.9240 0.0000 
2_21909109 1.4200 0.0000 
2_21909110 3.1030 0.0000 
2_21998597 1.4050 0.0000 
2_22291609 1.2920 0.0000 
2_22341974 1.3370 0.0000 
2_23028347 1.3600 0.0000 
2_23118974 3.8060 0.0000 
2_23371916 1.9400 0.0000 
2_23372041 1.4530 0.0001 
2_23446634 1.2520 0.0000 
2_25035420 3.9810 0.0000 
2_25245031 1.3980 0.0000 
2_25249183 1.8950 0.0000 
3_19772629 1.4570 0.0001 
3_19820697 2.1030 0.0000 
3_20045101 1.2840 0.0000 
3_21909109 1.4890 0.0000 
3_22341974 1.2530 0.0000 
3_23028347 1.2420 0.0000 
3_23118974 4.1770 0.0000 
3_23371916 1.8700 0.0000 
3_23372041 2.1290 0.0000 
3_25245031 1.3240 0.0000 
4_19772629 1.4920 0.0000 
4_19820697 2.4410 0.0000 
4_23028347 1.2760 0.0000 
5_19772629 1.4370 0.0001 
5_19820697 1.8380 0.0000 
5_23028347 1.2680 0.0000 
6_19772629 1.4420 0.0001 
7_19772629 1.5020 0.0000 
8_19772629 1.4840 0.0000 
