filename    obs  pred  var
1_18239089    2 1.985  0.0574 
1_18327257    1 0.992    NA 
1_18514160    1 0.9986    NA 
1_18604267    1 0.9901    NA 
1_18846228    2 20.82  10.87 
1_19079260   11 9.177  2.127 
1_19305408    9 9.993  5.51 
1_19305409   10 9.932  1.233 
1_19343178    6 21.17  2.894 
1_19430479    5 7.931  4.312 
1_19430483    6 8.719  3.633 
1_19448622    1 0.9772    NA 
1_19448623    1 0.9988    NA 
1_19557161    6 24.31  0.9912 
1_19587794    4    5  7.116 
1_19772629    0 0.9201    NA 
1_19802338    2 1.569  0.1631 
1_19820697    0 2.934  22.26 
1_19853236    3 2.685  1.091 
1_19862010    6 5.675  1.905 
1_20010834    6 29.06  8.782 
1_20031538    2 9.968  9.534 
1_20045101    1    1    NA 
1_20139977    1 2.957  13.32 
1_20172861    2 1.743  0.006579 
1_20303062    1 0.9997    NA 
1_20548946    3 3.504  0.4499 
1_20639394    2 3.34  4.114 
1_20887962    5 31.85  12.53 
1_20935629   15 15.97  1.506 
1_21060863    4 4.862  3.983 
1_21124946    1 8.956  23.83 
1_21196492    2 2.661  1.029 
1_21307088    1 0.9996    NA 
1_21572416    2 7.12  6.643 
1_21665993    2 1.797  60.79 
1_21706003    3 7.885  1.125 
1_21738478   13 31.53  2.276 
1_21750702    0  7.1  6.112 
1_21909108    3 3.215  0.3064 
1_21909109    2    2  6.418 
1_21909110   11 23.78  4.409 
1_21931568    4 3.973  0.7378 
1_21947420    1 38.4  9.281 
1_21977987    3 2.999  2.382 
1_21998595   15 55.88  5.717 
1_21998597    1    1    NA 
1_22021425   15 83.34  10.88 
1_22267201   15 16.06  2.194 
1_22291609    1 0.9586    NA 
1_22341974    1 0.9953    NA 
1_22403646    1    1    NA 
1_22492993    1 0.987    NA 
1_22494929    4 3.981  3.172 
1_22504419    2 2.888  1.393 
1_22504420 1_22570627    3 6.217  6.091 
1_22628180    1 12.28  0.5397 
1_22726844    1 9.177  8.479 
1_22843503    4 2.254  4.643 
1_22911880    0 2.517  3.561 
1_23001564    0 1.523  4.469 
1_23028347    1 0.9663  8.698 
1_23118974    3 25.51  10.27 
1_23202124    8 19.74  2.562 
1_23263486   24 40.27  2.499 
1_23371916    1    2  2.414 
1_23372041    2 5.89  15.68 
1_23437003    5 3.35  0.2546 
1_23446634    0    2  46.29 
1_23449627    3 18.77  7.881 
1_23456168    6 9.405  1.23 
1_23474815    2 11.99  18.5 
1_23572186    0 0.4197    NA 
1_23599027    2 7.843  2.354 
1_23658558    0 11.12  3.21 
1_23669352   13 64.83  8.97 
1_23722424    1 2.891  4.249 
1_23776548    2 2.122  2.974 
1_23984888    1 3.997  18.04 
1_24047826    1 1.968  0.9118 
1_24068962    6 13.33  4.083 
1_24144296    5 13.94  4.375 
1_24324648    2 4.995  14.63 
1_24430505   15 25.92  8.944 
1_24603532    1 0.5914    NA 
1_24604477    0 4.997  14.65 
1_24722205    1 5.079  1.95 
1_24929828    5 5.65  2.125 
1_24952745   10 25.24  4.204 
1_24963161    3 6.044  3.216 
1_25010111    1 0.7777    NA 
1_25027320    2 22.87  10.85 
1_25035420    2 10.82  5.626 
1_25224454    2 2.035  1.912 
1_25245031    1 0.9756    NA 
1_25249183    1  3.9  1.134 
1_25281659    1 2.879  8.823 
1_25282103  230 243.6  2.831 
1_25434496    3 2.971  0.8404 
2_19430479    5  7.9  5.288 
2_19430483    4 9.512  3.626 
2_19772629    0 0.8856    NA 
2_19802338    2 2.939  1.481 
2_19820697    0 10.95  12.93 
2_19862010    6 6.565  1.676 
2_20045101    1 0.9998    NA 
2_20548946    3 2.05  0.8429 
2_21572416    3 4.468  5.846 
2_21909109    3 2.96  0.1655 
2_21909110   23 30.82  2.402 
2_21998597    2 1.986  2.125 
2_22291609    1 0.9175    NA 
2_22341974    0 1.971  1.238 
2_23028347    2 1.028  0.04471 
2_23118974    0 16.69  8.509 
2_23371916    2    3  1.926 
2_23372041    0 0.9781    NA 
2_23446634    0 0.9987    NA 
2_25035420    2 11.6  3.926 
2_25245031    1 0.9775    NA 
2_25249183    1 4.872  1.251 
3_19772629    0 0.8924    NA 
3_19820697    1 7.972  6.031 
3_20045101    0 0.9584    NA 
3_21909109    4    4  16.02 
3_22341974    0 0.9819    NA 
3_23028347    0 0.3981    NA 
3_23118974    0 19.86  13.14 
3_23371916    1    2  4.635 
3_23372041    2 7.871  16.18 
3_25245031    1 0.8579    NA 
4_19772629 
