filename M obs pred_wc pred_c var_g var_c1 var_c2 
1_18846228 21 1 20.45 0.05457 0 16.6 1.02 
1_19079260 27 11 2.922 9.377 10.48 18.82 0 
1_19305408 10 9 9.976 8.944 53.95 -0.6501 11.76 
1_19305409 10 10 9.792 9.855 49.44 2.16 0 
1_19343178 30 8 11.81 5.826 5.59 17.31 0 
1_19430479 8 6 7.827 4.311 13.99 11.91 0 
1_19430483 9 6 8.343 4.859 13.89 10.71 0 
1_19557161 25 5 22.67 1.177 1.84 17.06 0.49 
1_19587794 5 4 5 3.761 37.45 -10.45 65.57 
1_19820697 3 0 2.918 0.0315 0 17.7 0.85 
1_19853236 3 3 2.606 1.866 22.77 25.53 0 
1_19862010 6 6 5.372 3.712 21.97 19.63 0 
1_20010834 30 7 26.54 3.857 4.09 18.11 0 
1_20031538 10 2 9.919 2.55 4.6 16 2.05 
1_20139977 3 1 2.944 1.192 6.48 13.02 2.12 
1_20548946 9 4 1.829 3.102 9.1 27.7 0 
1_20639394 5 2 2.798 2.875 33.63 51.07 0 
1_20887962 32 6 31.44 1.862 1.62 16.18 1.21 
1_20935629 16 16 15.87 15.21 36.85 -0.95 4.46 
1_21060863 5 4 4.742 3.354 27.06 20.84 0 
1_21124946 9 2 8.893 0.9008 2.38 34.42 0.63 
1_21196492 3 2 2.576 1.81 21.13 25.87 0 
1_21572416 8 3 6.304 2.032 5.44 16.56 0 
1_21706003 8 5 7.722 3.847 13.66 18.44 0 
1_21738478 33 16 27.53 12.82 12.19 17.41 0 
1_21750702 9 0 5.652 0.00001132 0 19 0.29 
1_21909108 4 4 2.916 2.22 14.2 15.2 0 
1_21909110 26 11 19.41 7.578 8.04 16.46 0 
1_21931568 4 4 3.952 3.443 30.69 7.71 0 
1_21947420 41 2 32.15 0.0306 0 16.4 0.91 
1_21977987 5 3 2.477 2.014 12.51 45.79 0 
1_21998595 59 18 45.77 11.45 6.19 15.71 0 
1_22021425 84 17 80.29 4.917 3.11 15.79 0 
1_22267201 17 15 14.17 9.741 27.26 27.24 0 
1_22494929 4 4 3.967 3.176 27.16 9.24 0 
1_22504419 3 3 2.854 1.869 14.37 10.23 0 
1_22504420 79 71 77.23 64.96 34.38 2.42 2.23 
1_22570627 7 3 5.583 1.236 3.44 18.26 0.51 
1_22628180 13 2 11.13 2.497 4.68 17.62 0 
1_22726844 10 1 8.369 1.629 2.4 13 1.98 
1_22843503 4 4 1.852 3.257 20.29 2.51 2.55 
1_22911880 6 0 1.63 0.0001324 0 20.4 0.34 
1_23118974 26 3 24.33 2.26 1.97 16.92 1.45 
1_23202124 20 8 19.06 9.512 14.32 13.98 0 
1_23263486 56 29 22.45 25.03 43.57 84.03 0 
1_23372041 6 1 5.783 0.2159 0 22.8 1.77 
1_23437003 5 5 2.756 2.478 13.29 19.11 0 
1_23449627 20 3 16.32 0.7791 2.01 20.99 0 
1_23456168 13 6 6.438 4.984 9.54 13.96 0 
1_23474815 12 2 11.97 0.8674 2.38 23.12 0.05 
1_23599027 17 3 3.438 1.136 2.48 19.42 0 
1_23658558 25 1 4.016 0.005807 0.43 20.87 0.21 
1_23669352 67 15 57.09 3.869 2.99 17.11 0 
1_23722424 4 2 2.536 1.239 6.1 21.5 0 
1_23776548 3 2 1.963 1.4 10.8 21.1 0 
1_23984888 4 1 3.995 0.9779 4.37 16.53 0 
1_24068962 14 6 12.23 7.179 23.02 28.58 0 
1_24144296 15 7 12.2 5.181 8.58 14.32 0 
1_24324648 5 2 4.99 2.184 9.9 16.4 0.07 
1_24430505 26 15 25.64 16.06 23.8 9.5 6.23 
1_24604477 5 0 4.994 0.03829 0 26 0.92 
1_24722205 7 1 3.98 1.732 5.19 17.81 0 
1_24929828 6 5 5.331 3.295 15.09 15.31 0 
1_24952745 34 12 14.7 10.12 11.08 49.42 0 
1_24963161 7 4 5.313 2.902 10.72 21.28 0 
1_25027320 23 2 22.45 0.8821 0.89 25.71 1.43 
1_25035420 16 1 6.682 0.2304 0.54 18.06 0.9 
1_25224454 3 1 1.883 1.137 9.23 40.07 0 
1_25249183 4 1 3.847 1.583 7.54 12.96 0 
1_25281659 3 2 2.842 0.9226 5.61 22.09 0 
1_25282103 254 236 184 
1_25434496 3 3 2.964 2.985 29.03 -13.63 29.83 
2_19430479 8 6 7.763 3.965 12.59 13.01 0 
2_19430483 10 4 8.867 3.756 8.55 12.55 0 
2_19802338 4 2 2.607 1.814 13.34 35.46 0 
2_19820697 11 0 10.86 0.005584 0 21.1 0.63 
2_19862010 7 6 6.096 4.379 20.95 16.35 0 
2_20548946 3 3 1.911 1.636 26.01 65.19 0 
2_21572416 5 3 4.157 2.11 8.94 13.86 0 
2_21909109 3 3 2.946 2.689 33.12 6.88 0 
2_21909110 33 28 25.58 16.86 16.02 11.28 0 
2_23118974 17 0 16.1 0.03637 0.33 17.26 0.55 
2_23371916 3 2 2.999 2.766 42.59 -4.291 11.1 
2_25035420 17 1 7.186 0.4482 1.65 17.65 0 
2_25249183 5 1 4.778 1.527 5.89 15.31 0 
3_19820697 8 1 7.933 1.032 3.09 19.41 0 
3_21909109 4 4 4 2.945 30.9 17.7 0 
3_23118974 20 1 19.53 0.02812 0.06 18.53 0.81 
3_23372041 8 1 7.7 0.2564 0 23.8 1.82 
4_19820697 13 6 12.87 7.047 16.09 11.01 3.9 
5_19820697 3 3 2.996 2.857 26.29 2.81 0 
